Dans le script écrire à l'envers : Slateport = db $00,$01

Petalburg				      0x0000
Slateport				      0x0100
Mauville				      0x0200
Rustboro				      0x0300
Fortree					      0x0400
Lilycove				      0x0500
Mossdeep				      0x0600
Sootopolis				      0x0700
Evergrande				      0x0800
Littleroot				      0x0900
Odale					      0x0A00
Dewford					      0x0B00
Lavaridge				      0x0C00
Fallarbor				      0x0D00
Verdanturf				      0x0E00
Pacifidlog				      0x0F00
Route 101				      0x1000
Route 102				      0x1100
Route 103				      0x1200
Route 104				      0x1300
Chenal 105				      0x1400
Chenal 106				      0x1500
Chenal 107				      0x1600
Chenal 108				      0x1700
Chenal 109				      0x1800
Route 110				      0x1900
Route 111				      0x1A00
Route 112				      0x1B00
Route 113				      0x1C00
Route 114				      0x1D00
Route 115				      0x1E00
Route 116				      0x1F00
Route 117				      0x2000
Route 118				      0x2100
Route 119				      0x2200
Route 120				      0x2300
Route 121				      0x2400
Chenal 122				      0x2500
Route 123				      0x2600
Chenal 124				      0x2700
Chenal 125				      0x2800
Chenal 126				      0x2900
Chenal 127				      0x2A00
Chenal 128				      0x2B00
Chenal 129				      0x2C00
Chenal 130				      0x2D00
Chenal 131				      0x2E00
Chenal 132				      0x2F00
Chenal 133				      0x3000
Chenal 134				      0x3100
Fond marin chenal 124			      0x3200
Fond marin chenal 126			      0x3300
Fond marin chenal 127			      0x3400
Fond marin chenal 128			      0x3500
Fond marin chenal 129			      0x3600
Fond marin chenal 105			      0x3700
Fond marin chenal 125			      0x3800
Littleroot Town Brendan's House 1F:           0x0001
Littleroot Town Brendan's House 2F:           0x0101
Littleroot Town May's House 1F:               0x0201
Littleroot Town May's House 2F:               0x0301
Littleroot Town Professor Birch's Lab:        0x0401
Oldale Town House 1:                          0x0002
Oldale Town House 2:                          0x0102
Oldale Town Pokemon Center 1F:                0x0202
Oldale Town Pokemon Center 2F:                0x0302
Oldale Town Mart:                             0x0402
Dewford Town House 1:                         0x0003
Dewford Town Pokemon Center 1F:               0x0103
Dewford Town Pokemon Center 2F:               0x0203
Dewford Town Gym:                             0x0303
Dewford Town Hall:                            0x0403
Dewford Town House 2:                         0x0503
Lavaridge Town Herb Shop:                     0x0004
Lavaridge Town Gym 1F:                        0x0104
Lavaridge Town Gym B1F:                       0x0204
Lavaridge Town House:                         0x0304
Lavaridge Town Mart:                          0x0404
Lavaridge Town Pokemon Center 1F:             0x0504
Lavaridge Town Pokemon Center 2F:             0x0604
Fallarbor Town Mart:                          0x0005
Fallarbor Town Battle Tent Lobby:             0x0105
Fallarbor Town Battle Tent Corridor:          0x0205
Fallarbor Town Battle Tent BattleRoom:        0x0305
Fallarbor Town Pokemon Center 1F:             0x0405
Fallarbor Town Pokemon Center 2F:             0x0505
Fallarbor Town Cozmo's House:                 0x0605
Fallarbor Town Move Relearner's House:        0x0705
Verdanturf Town Battle Tent Lobby:            0x0006
Verdanturf Town Battle Tent Corridor:         0x0106
Verdanturf Town Battle Tent BattleRoom:       0x0206
Verdanturf Town Mart:                         0x0306
Verdanturf Town Pokemon Center 1F:            0x0406
Verdanturf Town Pokemon Center 2F:            0x0506
Verdanturf Town Wanda's House:                0x0606
Verdanturf Town Friendship Rater's House:     0x0706
Verdanturf Town House:                        0x0806
Pacifidlog Town Pokemon Center 1F:            0x0007
Pacifidlog Town Pokemon Center 2F:            0x0107
Pacifidlog Town House 1:                      0x0207
Pacifidlog Town House 2:                      0x0307
Pacifidlog Town House 3:                      0x0407
Pacifidlog Town House 4:                      0x0507
Pacifidlog Town House 5:                      0x0607
Petalburg City Wally's House:                 0x0008
Petalburg City Gym:                           0x0108
Petalburg City House 1:                       0x0208
Petalburg City House 2:                       0x0308
Petalburg City Pokemon Center 1F:             0x0408
Petalburg City Pokemon Center 2F:             0x0508
Petalburg City Mart:                          0x0608
Slateport City Stern's Shipyard 1F:           0x0009
Slateport City Stern's Shipyard 2F:           0x0109
Slateport City Battle Tent Lobby:             0x0209
Slateport City Battle Tent Corridor:          0x0309
Slateport City Battle Tent BattleRoom:        0x0409
Slateport City Name Rater's House:            0x0509
Slateport City Pokemon Fan Club:              0x0609
Slateport City Oceanic Museum 1F:             0x0709
Slateport City Oceanic Museum 2F:             0x0809
Slateport City Harbor:                        0x0909
Slateport City House:                         0x0A09
Slateport City Pokemon Center 1F:             0x0B09
Slateport City Pokemon Center 2F:             0x0C09
Slateport City Mart:                          0x0D09
Mauville City Gym:                            0x000A
Mauville City Bike Shop:                      0x010A
Mauville City House 1:                        0x020A
Mauville City Game Corner:                    0x030A
Mauville City House 2:                        0x040A
Mauville City Pokemon Center 1F:              0x050A
Mauville City Pokemon Center 2F:              0x060A
Mauville City Mart:                           0x070A
Rustboro City Devon Corp 1F:                  0x000B
Rustboro City Devon Corp 2F:                  0x010B
Rustboro City Devon Corp 3F:                  0x020B
Rustboro City Gym:                            0x030B
Rustboro City Pokemon School:                 0x040B
Rustboro City Pokemon Center 1F:              0x050B
Rustboro City Pokemon Center 2F:              0x060B
Rustboro City Mart:                           0x070B
Rustboro City Flat 1 1F:                      0x080B
Rustboro City Flat 1 2F:                      0x090B
Rustboro City House 1:                        0x0A0B
Rustboro City Cutter's House:                 0x0B0B
Rustboro City House 2:                        0x0C0B
Rustboro City Flat 2 1F:                      0x0D0B
Rustboro City Flat 2 2F:                      0x0E0B
Rustboro City Flat 2 3F:                      0x0F0B
Rustboro City House 3:                        0x100B
Fortree City House 1:                         0x000C
Fortree City Gym:                             0x010C
Fortree City Pokemon Center 1F:               0x020C
Fortree City Pokemon Center 2F:               0x030C
Fortree City Mart:                            0x040C
Fortree City House 2:                         0x050C
Fortree City House 3:                         0x060C
Fortree City House 4:                         0x070C
Fortree City House 5:                         0x080C
Fortree City Decoration Shop:                 0x090C
Lilycove City Cove Lily Motel 1F:             0x000D
Lilycove City Cove Lily Motel 2F:             0x010D
Lilycove City Lilycove Museum 1F:             0x020D
Lilycove City Lilycove Museum 2F:             0x030D
Lilycove City Contest Lobby:                  0x040D
Lilycove City Contest Hall:                   0x050D
Lilycove City Pokemon Center 1F:              0x060D
Lilycove City Pokemon Center 2F:              0x070D
Lilycove City Unused Mart:                    0x080D
Lilycove City Pokemon Trainer Fan Club:       0x090D
Lilycove City Harbor:                         0x0A0D
Lilycove City Move Deleter's House:           0x0B0D
Lilycove City House 1:                        0x0C0D
Lilycove City House 2:                        0x0D0D
Lilycove City House 3:                        0x0E0D
Lilycove City House 4:                        0x0F0D
Lilycove City Department Store 1F:            0x100D
Lilycove City Department Store 2F:            0x110D
Lilycove City Department Store 3F:            0x120D
Lilycove City Department Store 4F:            0x130D
Lilycove City Department Store 5F:            0x140D
Lilycove City Department Store Rooftop:       0x150D
Lilycove City Department Store Elevator:      0x160D
Mossdeep City Gym:                            0x000E
Mossdeep City House 1:                        0x010E
Mossdeep City House 2:                        0x020E
Mossdeep City Pokemon Center 1F:              0x030E
Mossdeep City Pokemon Center 2F:              0x040E
Mossdeep City Mart:                           0x050E
Mossdeep City House 3:                        0x060E
Mossdeep City Steven's House:                 0x070E
Mossdeep City House 4:                        0x080E
Mossdeep City Space Center 1F:                0x090E
Mossdeep City Space Center 2F:                0x0A0E
Mossdeep City Game Corner 1F:                 0x0B0E
